pub_date,headline
2022-12-27 18:58:03,Did the Tesla Story Ever Make Sense?
2022-12-27 18:55:09,
2022-12-27 18:55:06,
2022-12-27 18:55:04,
2022-12-27 18:53:32,George Santos: What We Know and Don’t Know About the New Congressman
2022-12-27 18:48:26,"In a city a few hours from Moscow, mothers grieve their sons but don’t resent Putin’s war."
2022-12-27 18:41:36,"Menahem Schmelzer, Jewish Theological Seminary Librarian, Dies at 88"
2022-12-27 18:39:14,The Year Pop’s Men Dismantled Their Masculinity
2022-12-27 18:34:02,Well’s Favorite Health Tips of the Year
2022-12-27 17:50:42,Travel Meltdowns in Recent History
2022-12-27 17:06:00,The U.S. is sending satellite-guided weapons to Kyiv. How will they help?
2022-12-27 17:00:12,A Literary Scene Where Parties Are Part of the Agenda
2022-12-27 16:59:43,The Iconic French Pastry You Should Bake for a New Year’s Party
2022-12-27 16:57:00,"George Santos, the Falsehoods and the Facts"
2022-12-27 16:38:47,Thousands Will Live Here One Day (as Long as They Can Find Water)
2022-12-27 16:29:53,Mickey’s Copyright Adventure: Early Disney Creation Will Soon Be Public Property
2022-12-27 16:21:09,Man Sentenced to 16 Years in Prison for Plotting to Kidnap Michigan’s Governor
2022-12-27 16:00:09,"Parents Often Bring Children to Psychiatric E.R.s to Subdue Them, Study Finds"
2022-12-27 16:00:08,Why Does My Sleep Become Worse as I Age?
2022-12-27 15:33:15,The New York Bakery Where Frank Sinatra Liked to Buy Pastries
2022-12-27 15:21:02,"Kebab aur Sharab, Celebrating Indian Food, Opens on the Upper West Side"
2022-12-27 15:17:54,A Gin and Peppermint Cocktail to Toast 2023
2022-12-27 15:10:07,‘It Was Just a Crying Day’: Families Mourn Those Killed in the Storm
2022-12-27 14:49:14,Ukraine’s difficulties on the bond markets leave it more reliant on foreign aid.
2022-12-27 14:26:54,Lukashenko and Putin Affirm Close Ties Without Addressing Ukraine
2022-12-27 13:51:23,"Lee Myung-bak, South Korean Ex-President, Receives Pardon"
2022-12-27 13:00:06,‘Broadway Rising’ Review: Surviving the Pandemic
2022-12-27 12:24:35,The Bull-and-Bear Case for 2023
2022-12-27 12:00:07,Some Days It’s Mind Over Muscle. Other Days It’s Blowing Minds.
2022-12-27 11:58:43,Navalny accuses the prison authorities of using his health as a tool to put pressure on him.
2022-12-27 11:20:54,Stories You Might Have Missed in 2022
2022-12-27 11:00:04,How Two Friends Beat Amazon and Built a Union: An Update
2022-12-27 10:46:09,"Southwest’s Debacle, Which Stranded Thousands, to Be Felt for Days"
2022-12-27 10:29:31,"Attacks on 4 Washington Substations Cut Power to Thousands, Officials Say"
2022-12-27 10:17:13,‘Tragic Battle’: On the Front Lines of China’s Covid Crisis
2022-12-27 10:00:43,"Far From the World Cup, the Essence of Argentine Soccer Expands Its Reach"
2022-12-27 10:00:37,"They Dreamed of a Bigger Apartment. Little by Little, It Came True."
2022-12-27 10:00:37,"In Record Numbers, an Unexpected Migrant Group Is Fleeing to the U.S."
2022-12-27 10:00:35,Art Spiegelman on Life With a ‘500-Pound Mouse Chasing Me’
2022-12-27 10:00:33,"Finding Community, and Freedom, on the Virtual Dance Floor"
2022-12-27 10:00:30,How Will We Eat in 2023? Here Are 10 Predictions.
2022-12-27 10:00:29,"149 Shot, 16 Dead: Gunfire’s Rising Toll on New York City’s Youngest."
2022-12-27 10:00:25,When Cultural Heritage Becomes a Battlefront
2022-12-27 10:00:24,Battered by Natural Disasters and Gaining the Support to Recover
2022-12-27 10:00:22,You’re Going to Need a Smaller Boat: Island Hopping in the Grenadines
2022-12-27 10:00:22,Is A.I. the Future of Test Prep?
2022-12-27 10:00:20,‘I Can’t Imagine Who Would Think It’s OK to Take Food Away From Kids’
2022-12-27 10:00:20,A Documentarian Travels the World Asking: ‘Have You Eaten Yet?’
2022-12-27 10:00:18,5 Podcasts About the Royal Family
2022-12-27 10:00:16,A Policy Renaissance Is Needed for Rural America to Thrive
2022-12-27 10:00:16,"Kendrick Lamar’s New Chapter: Raw, Intimate and Unconstrained"
2022-12-27 10:00:08,My Partner’s Parents Stay With Us Every Weekend. Do I Get a Say?
2022-12-27 10:00:08,In Praise of Unfinished Basements
2022-12-27 09:00:02,Día 27: ¿Qué se dice de Kwanzaa?
2022-12-27 08:04:18,"A Russian military unit killed dozens in Bucha, a Times investigation shows."
2022-12-27 08:00:18,The Webb Telescope Is Just Getting Started
2022-12-27 08:00:14,Epidemics That Weren’t: How Countries Shut Down Recent Outbreaks
2022-12-27 08:00:13,What Would It Take to Turn More Offices Into Housing?
2022-12-27 08:00:13,"Getting Creative With Vacant Office Space: Storage, Gym, Film Set"
2022-12-27 08:00:11,Retirees Are One Reason the Fed Has Given Up on a Big Worker Rebound
2022-12-27 08:00:09,‘Most Pro-Union President’ Runs Into Doubts in Labor Ranks
2022-12-27 08:00:04,Spelling Bee Forum
2022-12-27 06:59:23,"No Corrections: Dec. 27, 2022"
2022-12-27 06:25:30,2 Paintings at the Met Ask Us to Look at America
2022-12-27 05:09:31,"Russian City Mourns Its Lost Soldiers, but Doesn’t Resent Putin’s War"
2022-12-27 05:07:20,Ukrainian forces edge closer to a heavily guarded city in the east.
2022-12-27 05:02:03,Your Tuesday Briefing
2022-12-27 05:01:08,For Sale on eBay: A Military Database of Fingerprints and Iris Scans
2022-12-27 05:00:07,Day 27: What Are Kids Saying About Kwanzaa?
2022-12-27 03:00:05,Sheepish Utterance
2022-12-26 23:48:35,George Santos Admits to Lying About College and Work History
2022-12-26 23:01:11,"Russian Air Base Is Attacked, as Ukraine Discounts Escalation Threat"
2022-12-26 22:51:39,Juan Francisco Elso’s Indelible Art of América
2022-12-26 22:25:10,Man Arrested in 2 Fatal Stabbings During 4-Day Spree in Manhattan
2022-12-26 21:33:42,Soccer Star Says His Family Stopped From Leaving Iran for Supporting Protests
2022-12-26 21:30:05,How citizen spies foiled Putin’s grand plan for one Ukrainian city.
2022-12-26 21:22:50,Thousands of Canceled Flights Cap Holiday Weekend of Travel Nightmares
2022-12-26 20:56:49,Your Tuesday Briefing: China Menaces Taiwan
2022-12-26 20:04:26,Ukraine’s foreign minister proposes peace summit for February.
2022-12-26 20:00:12,Pandemic Woes Lead Met Opera to Tap Endowment and Embrace New Work
2022-12-26 19:44:43,Aid Groups in Afghanistan Suspend Work After Taliban Bar Female Staff
2022-12-26 19:33:48,China to Drop Covid Quarantine for Incoming Travelers
2022-12-26 19:10:55,Attacks inside Russia potentially complicate Moscow’s campaign of striking Ukraine’s energy grid.
2022-12-26 18:45:28,"In the Bahamas, a Lingering Sympathy for Sam Bankman-Fried"
2022-12-26 18:43:38,Paris Shooting Suspect Indicted on Charges of Murder With Racist Motive
2022-12-26 18:32:46,Bakhmut’s final food stand finds a way to keep the pizza coming.
2022-12-26 17:58:46,"For Sibling Survivors of a Mass Shooting, Christmas Is an Act of Resolve"
2022-12-26 17:55:27,Is the Inflation Storm Letting Up?
2022-12-26 17:15:08,"Shelby, One of the Senate’s Last Big Spenders, ‘Got Everything’ for Alabama"
2022-12-26 16:43:31,‘Kindred’ Creator Wants Viewers to ‘Question Their Assumptions’
2022-12-26 16:42:01,Court Rules Sikh Marine Recruits Can Wear Beards at Boot Camp
2022-12-26 16:00:05,The Thorny Questions Raised by Charitable Giving
2022-12-26 16:00:03,What to Cook Right Now
2022-12-26 15:32:31,28 Dead in ‘Once in a Generation’ Blizzard in Western New York
2022-12-26 15:08:49,‘Roald Dahl’s Matilda the Musical’ Review: Youth in Revolt
2022-12-26 14:04:33,It’s Turtles All the Way Down in the Fossil Record
2022-12-26 14:00:06,When Books for Children Are Banned
2022-12-26 14:00:04,Wordle Wrap-Up: Dec. 19 to 25
2022-12-26 14:00:03,Diary of a Spelling Bee Fanatic
2022-12-26 13:35:38,Nepal’s Revolving Door Produces a New Leader but No Hoped-For Change
2022-12-26 12:32:51,"After a deadly weekend attack, the authorities in Kherson renew their appeal for people to evacuate."
2022-12-26 12:00:07,"After a Switch in Citizenship, a Return to Long-Term Goals"
2022-12-26 11:32:56,What You Read
2022-12-26 11:29:55,‘The Daily’ reports from the road with Ukraine’s refugees.
2022-12-26 11:00:09,On the Road With Ukraine’s Refugees: An Update
2022-12-26 10:20:39,Zelensky warns Ukrainians that Russia might strike the electrical grid before New Year’s Eve.
2022-12-26 10:00:35,The I.C.U. Nurse: A Symbol of Endurance
2022-12-26 10:00:26,"Nets, Buoys, Salt, Ice. For West African Fishermen, ‘Everything’ Is Going Up."
2022-12-26 10:00:25,"In Nord Stream Mystery, Baltic Seabed Provides a Nearly Ideal Crime Scene"
2022-12-26 10:00:22,The Last Holdouts
2022-12-26 10:00:21,"With ‘Zero Covid,’ China Proved It’s Good at Control. Governance Is Harder."
2022-12-26 10:00:21,These Women Distillers Are Rising With the American Whiskey Boom
2022-12-26 10:00:20,"For Richmond, a Compelling New Chapter"
2022-12-26 10:00:18,Motorsports Is Looking for the Next Danica Patrick. And the One After That.
2022-12-26 10:00:18,"Blue States Want Red States to Face Consequences, but Travel Bans Are Harmful"
2022-12-26 10:00:18,A Bricklayer Rebuilds His Life
2022-12-26 10:00:16,"I’ve Had Enough of My Parents’ ‘No Pain, No Gain’"
2022-12-26 10:00:16,"Arizona Is in a Race to the Bottom of Its Water Wells, With Saudi Arabia’s Help"
2022-12-26 10:00:15,Small Steps to Improve Your Mental Health in 2023
2022-12-26 10:00:11,Waking Up From the American Dream
2022-12-26 10:00:10,Welcome to the Winter of Our Déjà Vu
2022-12-26 10:00:09,$4 Million Homes in California
2022-12-26 10:00:04,What’s the Best Everyday Base Layer?
2022-12-26 10:00:01,An A.I. Pioneer on What We Should Really Fear
2022-12-26 09:52:35,"With Record Military Incursions, China Warns Taiwan and the U.S."
2022-12-26 09:50:31,"North Korean Drones Breach Border, Triggering Alarms in South"
2022-12-26 08:23:45,Ukraine is offering Russian soldiers detailed instructions on how to surrender to its drones.
2022-12-26 08:18:25,The drone attack is the second aimed at Engels air base this month.
2022-12-26 08:00:19,Casinos Target a Vulnerable Clientele: Older Asian Gamblers
2022-12-26 08:00:16,One Final Twist in the Rev. Louis Gigante’s Colorful Life: A Son
2022-12-26 08:00:15,"Democrats, Feeling New Strength, Plan to Go on Offense on Voting Rights"
2022-12-26 08:00:10,Biden’s Pick to Lead F.A.A. Faces Murky Road to Confirmation
2022-12-26 08:00:05,Día 26: ¿Qué es el ‘Boxing Day’ y por qué deberíamos celebrarlo?
2022-12-26 08:00:03,Spelling Bee Forum
2022-12-26 08:00:01,"For Trump, the Legal Shoes Finally Drop"
2022-12-26 07:01:16,There was no holiday from fighting on the eastern front line.
2022-12-26 07:00:19,"In Ukraine, Christmas lights defy the darkness of war."
2022-12-26 07:00:05,The president of Belarus is in Russia amid concerns of a new offensive in Ukraine.
2022-12-26 06:00:06,What’s on TV This Week: Kennedy Center Honors and New Year’s Eve
2022-12-26 05:02:54,Did a Fourth Grader Write This? Or the New Chatbot?
2022-12-26 05:02:03,Your Monday Briefing
2022-12-26 05:00:03,Day 26: Who Doesn’t Need an Extra Holiday?
2022-12-26 04:49:48,"No Corrections: Dec. 26, 2022"
2022-12-26 04:46:53,"Quotation of the Day: Stranded, Snowed In and Saved by Angels as Upstate Freezes Over"
2022-12-26 01:47:43,"For Newly Arrived New Yorkers, a Chance to Celebrate"
2022-12-25 23:09:54,4 Dead and Dozens Injured in Bus Crash in Canada on Christmas Eve
2022-12-25 23:00:05,Epitome of Precision
2022-12-25 22:31:23,They Traveled From South Korea. They Got Stranded Near Buffalo.
2022-12-25 22:05:30,"Kathy Whitworth, Record-Holder for U.S. Golf Wins, Dies at 83"
2022-12-25 21:00:02,Your Monday Briefing
2022-12-25 20:58:59,Buses of Migrants Arrive at Kamala Harris’s Home on Christmas Eve
2022-12-25 20:38:55,"Terry Hall, a Face of Britain’s Ska Revival, Is Dead at 63"
2022-12-25 19:27:25,"Maya Ruiz-Picasso, Artist’s Daughter and Inspiration, Dies at 87"
2022-12-25 17:13:38,"In Memphis, the Phonics Movement Comes to High School"
2022-12-25 16:00:09,How Henri Matisse (and I) Got a ‘Beautiful Body’
2022-12-25 16:00:09,"Ice Climbing Is Having Its Moment, but How Much Longer Will the Ice Be Around?"
2022-12-25 16:00:08,"Having a Hard Christmas? Jesus Did, Too"
2022-12-25 16:00:08,This Year Was the Beginning of a Green Transition
2022-12-25 16:00:07,My Christmas Gift to Myself: Pride
2022-12-25 16:00:03,What to Cook This Week
2022-12-25 15:26:28,"In Buffalo, Even the Rescuers Needed Rescuing"
2022-12-25 15:10:08,Charles Charts a Path as a King for All Holiday Seasons
2022-12-25 15:00:05,‘Broker’ Review: It Takes a Village to Sell a Child
2022-12-25 14:59:12,"In Christmas Address, Pope Bemoans ‘Grave Famine of Peace’"
2022-12-25 14:30:07,Teaching Cursive Is Passé. Should It Be?
2022-12-25 14:26:01,Conservatives in Western Canada Pass Law Rejecting Federal Sovereignty
2022-12-25 12:51:12,"Covid Is Spreading Rapidly in China, New Signs Suggest"
2022-12-25 12:02:09,Times Past
2022-12-25 12:00:09,They Came Out of Nowhere. Then They Went Everywhere.
2022-12-25 11:11:30,U.N. Fears 180 Rohingya Refugees in Stranded Boat Are Dead
2022-12-25 10:00:18,How Citizen Spies Foiled Putin’s Grand Plan for One Ukrainian City
2022-12-25 10:00:18,Germany’s Energy Crisis Is a Cue to Chop Wood and Stock Up
2022-12-25 10:00:10,Is It Time for a ‘White Lotus’ Vacation?
2022-12-25 10:00:05,The Week in Business: Who Comes After Elon Musk?
2022-12-25 09:56:07,"Another Day, Another Crash: Life by Britain’s Most Bashed Bridge"
2022-12-25 09:05:38,"Putin Insists He Is Open to Talks, as Air-Raid Sirens Sound Across Ukraine"
2022-12-25 09:02:30,Quotation of the Day: Police Deploy New Strategies to Refill Ranks
2022-12-25 08:00:14,"In Ukraine, Christmas Lights Defy Darkness of War, and Children Ask for Peace"
2022-12-25 08:00:14,"As Applications Fall, Police Departments Lure Recruits With Bonuses and Attention"
2022-12-25 08:00:10,Welcome to The Times. Did You Sign the Book?
2022-12-25 08:00:07,The Best Metropolitan Diary Item of 2022: The Readers Speak
2022-12-25 08:00:06,The Joy of Illustration
2022-12-25 08:00:06,Spelling Bee Forum
2022-12-25 08:00:06,"Drawn Away, but Not to a Close"
2022-12-25 08:00:06,Día 25: Un humorista recuerda la rara Navidad judía de su familia
2022-12-25 08:00:03,A Local Column With Fans Around the World
2022-12-25 07:06:48,"Corrections: Dec. 25, 2022"
2022-12-25 05:00:10,Day 25: That Time an Orthodox Jew Celebrated Christmas
2022-12-25 02:07:15,Con Edison asks New York City customers to conserve energy.
2022-12-25 01:24:50,"For an outdoor vigil, one Queens man hoped four pairs of pants and a battery-powered warming vest would do the trick."
2022-12-25 00:56:48,"Even in dangerous conditions, a few brave souls in Buffalo are out."
2022-12-25 00:22:03,"In El Paso, migrants find sanctuary at a bus station."
2022-12-25 00:00:00,"Butternut Squash, Leek and Za’atar Pie"
2022-12-24 23:08:31,He left work on Friday morning and still has not made it home.
2022-12-24 23:00:06,Novel Thinking
2022-12-24 22:57:28,What We Learned From Week 16 in the N.F.L.
2022-12-24 22:00:49,"Officials in Buffalo warn of a cold, dangerous night ahead."
2022-12-24 21:43:08,"Don Christopher, Who Turned Lowly Garlic Into a Staple, Dies at 88"
2022-12-24 21:42:32,"For farmers in Florida, the chill resonates in a troubling way."
2022-12-24 20:52:13,"Stuck in Brooklyn, dreaming of a Buffalo Christmas."
2022-12-24 20:32:10,"In New York City, last-minute shoppers brave the frigid weather."
2022-12-24 20:27:10,"Even for Buffalo, this storm is colossal."
2022-12-24 20:00:08,Making Skate Films Into Art
2022-12-24 19:45:57,Communication issues leave residents in the dark amid Nashville power outages.
2022-12-24 19:29:02,"In the Buffalo area, a community comes to life, beckoned by beer and football."
2022-12-24 19:14:11,West Point to Remove Confederate Monuments From Its Campus
2022-12-24 18:55:01,"In Buffalo, residents are trying to dig out — unsuccessfully."
2022-12-24 18:33:29,"In chilly Orlando, the most popular souvenir isn’t Mickey Mouse ears."
2022-12-24 18:13:45,Arizona Judge Rejects Kari Lake’s Effort to Overturn Her Election Loss
2022-12-24 17:00:37,La Guardia flight delays and cancellations leave travelers with little recourse.
2022-12-24 16:04:46,"Taliban Bar Women From NGOs, Threatening to Worsen Crisis"
2022-12-24 16:00:09,How Would You Prove That God Performed a Miracle?
2022-12-24 16:00:09,How Americans Can Stand Against Extremism
2022-12-24 16:00:08,Did the Mother of Young Adult Literature Identify as a Man?
2022-12-24 16:00:08,The Jan. 6 Report Is Out. Now the Real Work Begins.
2022-12-24 16:00:08,This Was the Year Everything Changed in Germany
2022-12-24 15:59:37,Fuel Tanker Wedged Beneath Overpass Explodes Near Hospital in South Africa
2022-12-24 15:58:55,Día 24: ¿Puedes adivinar estas 12 películas navideñas?
2022-12-24 15:49:28,"With Unfit Drinking Water, Indigenous Communities in Canada Bear Hardship"
2022-12-24 15:39:27,"Storm Batters Canada, Leaving Thousands Without Power"
2022-12-24 15:35:45,"For a homeless woman near Atlanta, the cold isn’t just uncomfortable. It’s also scary."
2022-12-24 15:32:19,"In Nashville, power outages complicate the holiday."
2022-12-24 15:07:37,"In Buffalo, it was ‘a very, very bad night in our community.’"
2022-12-24 14:40:51,It’s Noche Buena
2022-12-24 14:00:07,Why Dickens Haunts Us
2022-12-24 14:00:06,A Christmas Conversation About Christ
2022-12-24 13:00:03,Reasons for Optimism in 2023
2022-12-24 12:00:08,"Back From a Debilitating Illness, Kris Wilkes Is Ready for His Chance"
2022-12-24 11:18:41,Your Favorite Things of 2022
2022-12-24 11:00:03,The Syrian Family That Rebuilt a Chocolate Empire in Nova Scotia
2022-12-24 10:34:50,"At Least 10 Killed in Kherson Shelling, Fueling Anger Over Christmas Strikes"
2022-12-24 10:00:51,"Putin Wants Fealty, and He’s Found It in Africa"
2022-12-24 10:00:32,St. Nicholas (the Church) Has Come to Town
2022-12-24 10:00:31,"Lonely, Single and Over 50? China Has a Game Show for That."
2022-12-24 10:00:30,How the Worst Fears for Democracy Were Averted in 2022
2022-12-24 10:00:28,A High-Tech Strategy for Keeping Drug Users Safe: Analyzing Their Fentanyl
2022-12-24 10:00:27,What’s the Big Deal About Handbags?
2022-12-24 10:00:26,Readers Share Their Favorite Books of 2022
2022-12-24 10:00:25,N.B.A. Christmas Day Games: What to Know
2022-12-24 10:00:25,When a Taylor Swift Concert Means Getting Your First Credit Card
2022-12-24 10:00:25,Betting Apps Can Make Anyone a Sports Fan. Even Me.
2022-12-24 10:00:24,"G.O.P. Gains Strength on N.Y. City Council, as a Democrat Breaks Ranks"
2022-12-24 10:00:23,How a Celebrity Auctioneer Spends His Sundays
2022-12-24 10:00:15,Jingle Bell Time Is a Swell Time to Decide About a 2024 Campaign
2022-12-24 10:00:13,The Shooter Drops By for Dinner
2022-12-24 10:00:11,My Neighbors Won’t Leash Their Dogs. What Can I Do?
2022-12-24 10:00:08,"For An Yu, the Living Are More Adrift Than the Ghosts"
2022-12-24 10:00:07,Week 16 N.F.L. Playoff Picture: A Team-by-Team Guide
2022-12-24 10:00:05,The 2022 Baseball Trivia Extravaganza
2022-12-24 09:52:50,"Emergency workers in the Buffalo area are struggling to operate in blizzard conditions, an official says."
2022-12-24 08:00:23,Winter Storm Leaves Buffalo and Its Region Reeling
2022-12-24 08:00:16,A Christmas Tree Brings Life to a Destroyed Palestinian Village
2022-12-24 08:00:04,Spelling Bee Forum
2022-12-24 08:00:03,The Tom Brady of Other Jobs
2022-12-24 06:37:49,Gunfire at Mall of America Leaves One Dead and Shoppers Fleeing
2022-12-24 05:41:26,"Corrections: Dec. 24, 2022"
2022-12-24 05:33:13,Quotation of the Day: ‘Just Part of Life’: Experiences With Egg Freezing
2022-12-24 05:12:32,Listen. Can You Guess These 12 Christmas Movies?
2022-12-24 05:00:15,Britain’s Soaring Energy Costs Strain Crisis Responders
2022-12-24 03:14:26,Alex Ovechkin Has 802 Goals. Wayne Gretzky Is Next in His Sights.
2022-12-24 03:00:05,Step Toward Nirvana
2022-12-24 02:46:37,University of California Academic Workers End Strike
2022-12-24 00:47:30,"In Buffalo, families huddle in dark, cold homes."
2022-12-24 00:30:06,‘Snow Fall’ at 10: How It Changed Journalism
2022-12-24 00:23:53,"Thom Bell, a Force Behind the Philadelphia Soul Sound, Dies at 79"
2022-12-24 00:00:00,Shakshuka With Feta
2022-12-24 00:00:00,Crispy Pepperoni Chicken
2022-12-24 00:00:00,Kung Pao Cauliflower
2022-12-24 00:00:00,Glass Noodles With Shrimp and Spicy Mustard Sauce
2022-12-23 23:58:24,A mix of anxiety and delight as the thermometer drops in Orlando.
2022-12-23 23:40:28,"With Detailed Evidence and a Call for Accountability, Jan. 6 Panel Seeks a Legacy"
2022-12-23 23:40:08,"Stuart Namm, 89, Dies; Judge Blew Whistle on Police and Prosecutors"
2022-12-23 23:27:51,Tory Lanez Found Guilty of Shooting Megan Thee Stallion
2022-12-23 23:14:34,Alameda Executive Says She Is ‘Truly Sorry’ for Her Role in FTX Collapse
2022-12-23 23:08:06,An OK Basketball Player Hopes to Be a Great N.B.A. Team Owner
2022-12-23 23:00:11,Your Friday Evening Briefing
2022-12-23 22:51:05,An Iowa Sports Reporter Was Sent to Cover the Weather. He Did Not Like It.
2022-12-23 22:43:41,"Girl, 5, and Brother, 6, Are Killed in a Staten Island House Fire"
2022-12-23 22:26:10,Can eyeballs really freeze? People suddenly in the grip of Arctic temperatures want to know.
2022-12-23 22:24:28,Jan. 6 Report Leaves Questions About What Happened in Trump’s S.U.V.
2022-12-23 22:22:33,What Are JDAMs? And What Will They Do For Ukraine?
2022-12-23 22:06:52,Emily Is Still in Paris. Why Are We Still Watching?
2022-12-23 21:32:19,"Sister Patricia Daly, 66, Dies; Took On Corporate Giants on Social Justice"
2022-12-23 21:25:33,Tennessee Residents Endure Blackouts and Are Warned to Save Power
2022-12-23 21:19:45,Ukraine’s spy chief says Russian activity in Belarus is an attempt to divert Ukraine’s forces.
2022-12-23 21:13:57,"Tshala Muana, Congolese Singer With Danceable Messages, Dies at 64"
2022-12-23 21:11:01,"In Buffalo, whiteout conditions and frigid temperatures force a travel ban."
2022-12-23 21:04:18,Why Jesus Loved Friendship
2022-12-23 20:55:54,"Threat of Invasion From Belarus Low, Says Ukraine Spy Chief"
2022-12-23 20:37:42,The F.D.A. Now Says It Plainly: Morning-After Pills Are Not Abortion Pills
2022-12-23 20:37:40,Many New Englanders greeted the storm with a seasoned acceptance.
2022-12-23 20:33:50,Kentucky Lawmaker Speaks Out About Transgender Son’s Suicide
2022-12-23 20:20:39,A Christmas staple from Ukraine marks the 100th anniversary of its first American performance.
2022-12-23 20:15:25,She Worked for Twitter. Then She Tweeted at Elon Musk.
2022-12-23 20:14:12,Drivers were stranded overnight in a jam on a snowy Kentucky highway.
2022-12-23 20:00:08,The Ambivalence of Advent
2022-12-23 20:00:08,Russia Is Starting to Feel Squeezed by Sanctions
2022-12-23 20:00:07,Cattle farmers in Iowa contend with bitter cold and hungry herds.
2022-12-23 19:55:24,The nearly $50 billion Congress approved for Ukraine consists mostly of military support.
2022-12-23 19:35:47,"Temperatures are falling in Atlanta. The snow, thankfully, isn’t."
2022-12-23 19:29:18,How Did Sam Bankman-Fried Make His $250 Million Bail?
2022-12-23 19:24:45,"Charlene Mitchell, 92, Dies; First Black Woman to Run for President"
2022-12-23 19:22:10,‘I’ve never felt my facial hair freeze before.’
2022-12-23 19:06:26,"House Clears $1.7 Trillion Spending Package, Averting Shutdown"
2022-12-23 18:57:35,Americans Are Realizing Tesla Isn’t the Only Electric Car
2022-12-23 18:49:31,Is Israel on ‘a Dangerous Path’ as Netanyahu Takes Power?
2022-12-23 18:14:52,"As cancellations mount, La Guardia is ‘completely out of flights.’"
2022-12-23 18:14:33,Love Letter: A Mysterious Delivery
2022-12-23 18:13:35,The Weekender
2022-12-23 18:03:24,Russian shelling hits Ukraine’s south and east as Zelensky returns to Kyiv.
2022-12-23 18:01:22,More than half of the U.S. will have below-average temperatures on Saturday morning.
2022-12-23 18:00:05,Little Luxuries
2022-12-23 17:57:41,"After 40 Years of Fa-La-Laing, a New York Caroler Hands In His Bells"
2022-12-23 17:46:49,"I.R.S. Delays Tax Change for Users of Venmo, Cash App and Other Digital Wallets"
2022-12-23 17:30:59,"As Power Outages Loom, Some Are Preparing Christmas Dinner Early"
2022-12-23 17:30:32,Why can a warming climate increase snowfall?
2022-12-23 17:21:05,"Alberto Zamperla, Amusement Park Impresario, Is Dead at 71"
2022-12-23 17:14:18,"In a Long Race Like the Sydney Hobart, How Does the Crew Sleep?"
2022-12-23 17:11:38,"At the Sydney Hobart Yacht Race, a Female Crew of Two"
2022-12-23 17:08:06,Notable Deaths of 2022
2022-12-23 17:08:00,The Sydney Hobart Is a Dream to Win and Formidable to Navigate
2022-12-23 17:07:21,Notable Deaths of 2022: Arts and Styles
2022-12-23 17:07:01,Notable Deaths of 2022: Books
2022-12-23 17:06:23,Notable Deaths of 2022: Business and Economics
2022-12-23 17:05:55,Notable Deaths of 2022: Music
2022-12-23 17:05:34,Notable Deaths of 2022: Politics and Public Affairs
2022-12-23 17:04:48,Notable Deaths of 2022: Science and Technology
2022-12-23 17:04:26,Notable Deaths of 2022: Sports
2022-12-23 17:03:20,Notable Deaths of 2022: Stage and Screen
2022-12-23 17:02:20,"Long lines ease at Chicago O’Hare, as travelers hope to avoid flight delays."
2022-12-23 16:49:19,"Christmas is still coming to Ukraine, with a few adjustments."
2022-12-23 16:37:44,"In Museums About Horrors, Children Learn of the Heroes"
2022-12-23 16:36:30,Winter Storm Disrupts Thousands of Flights on a Busy Holiday Travel Day
2022-12-23 16:28:05,"Arctic air hits New York State, along with some flooding."
2022-12-23 16:26:53,12 New Christmas Songs for a Vast Array of Holiday Moods
2022-12-23 16:13:44,"Mimi Kilgore, Arts Patron and de Kooning Muse, Dies at 87"
2022-12-23 16:00:03,What to Cook This Weekend
2022-12-23 16:00:03,How Well Do You Know Modern Variations of “A Christmas Carol”?
2022-12-23 15:52:03,Word of the Day: deliberate
2022-12-23 15:30:38,What Is a ‘Bomb Cyclone’?
2022-12-23 15:30:02,"The Premier League Is Back, With Quite an Act to Follow"
2022-12-23 15:30:00,6 Paperbacks to Read This Week
2022-12-23 15:09:50,Zelensky’s wish list of weapons went mostly unfulfilled on his trip to Washington.
2022-12-23 15:00:06,How Angela Lansbury and Stephen Sondheim Came to Appear in ‘Glass Onion’
2022-12-23 14:00:22,How Californians Are Celebrating the Holidays
2022-12-23 14:00:07,‘Babylon’: A Guide to the Characters and Their Real-Life Counterparts
2022-12-23 14:00:07,The ‘Black Panther’ Sequel That Never Was
2022-12-23 14:00:06,‘Babylon’ and the Case of the Missing Bob Haircut
2022-12-23 14:00:06,Zoey Deutch Enjoys ‘The Joy of Cooking’ and the Occasional Tracksuit
2022-12-23 13:41:36,Consumer Spending Cooled in November as Closely Watched Inflation Gauge Slowed
2022-12-23 13:00:13,The Most Sought After Manuscript in Publishing? The Jan. 6 Report.
2022-12-23 13:00:02,"As Hope Fades for Missing Thai Sailors, Ship’s Safety Is Scrutinized"
2022-12-23 13:00:00,How Well Do You Know Your Holiday Movies?
2022-12-23 12:56:32,"George Santos’s Early Life: Odd Jobs, Bad Debts and Lawsuits"
2022-12-23 12:21:34,Bankman-Fried’s ‘Epic’ Legal Battle
2022-12-23 12:15:41,Gunman Kills at Least 3 in Paris in Suspected Racist Attack
2022-12-23 12:00:06,"With the Big Pieces in Place, the Yankees Still Have Needs"
2022-12-23 12:00:04,"Newly Published, From Worker Justice to Sound Waves"
2022-12-23 11:55:13,"With a Monster Storm Moving In, He Set Out on a 1,100-mile Drive"
2022-12-23 11:51:08,A Brutal Storm
2022-12-23 11:41:40,"When Putin called the conflict a ‘war,’ he wasn’t reversing course."
